command_id,run_key,dataset_class,task_type,task_phase,pose_name,attack_severity,attack_target_object,attack_active,outer_fold,target_reference_deviation_l2_rad,final_position_reference_deviation_l2_rad,velocity_profile_reference_deviation_l2_rad_s,effort_profile_reference_deviation_l2_nm,proxy_time_reference_deviation_s,final_tracking_error_l2_rad,analysis_label,target_reference_deviation_l2_rad_normal_percentile,final_position_reference_deviation_l2_rad_normal_percentile,velocity_profile_reference_deviation_l2_rad_s_normal_percentile,effort_profile_reference_deviation_l2_nm_normal_percentile,proxy_time_reference_deviation_s_normal_percentile,final_tracking_error_l2_rad_normal_percentile,composite_impact_percentile
aae28a8a37734f48979ed26c11836b04,20260721_080316:94,replay_attack,short_cube_pick_place,cube_retreat,long_cube_place_mid,high,cube,1,4,0.7258389490789262,0.7033758974757787,0.7304452730235276,7.492091383959415,0.3494941815,0.0220487922840657,Replay,100.0,100.0,100.0,86.84615384615385,98.57692307692307,75.73076923076924,93.52564102564104
25049d8ba03b4154a9b16c2451925e81,20260721_080334:95,replay_attack,long_cube_then_cylinder_sort,cube_retreat,long_cube_place_mid,low,cube,1,4,0.25487985404892244,0.2071895974378793,0.3021274527833299,170.0845609671903,0.09926641300000005,0.0641154566749602,Replay,100.0,100.0,99.96153846153845,100.0,97.65384615384616,85.46153846153847,97.17948717948718
e27277a9df6946a98f3ab8da7ca77d23,20260721_080448:97,replay_attack,long_cube_then_cylinder_sort,cylinder_retreat,long_cylinder_place_mid,medium,cylinder,1,4,0.3266925465938884,0.3240582700297196,0.16253148254253585,1.3306470392595768,0.3993460099999999,0.0120393507246039,Replay,100.0,100.0,98.26923076923076,69.88461538461539,98.65384615384616,46.5,85.55128205128206
75e8e84a1d8f41018a1dc5a29ddaed9c,20260721_053341:5,denial_of_service,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,high,cylinder,1,4,0.0,0.0038760164928680085,0.21851335285289789,5.567870092432259,1.500231319,0.0155205874989538,Delay DoS,100.0,58.84615384615385,98.88461538461539,82.0,98.88461538461539,59.88461538461538,83.08333333333333
ef95385546ba40fdb253e9d704df5e97,20260721_053614:7,denial_of_service,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,high,cylinder,1,4,0.0,0.01037090203405084,0.2192105161243577,5.178484931857456,1.550389119,0.001273685246552,Delay DoS,100.0,85.61538461538461,98.88461538461539,79.76923076923077,98.88461538461539,5.6923076923076925,78.14102564102565
29b34304dd454224b4aa8aa7b2c021ac,20260721_054341:15,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,4,0.0,0.0044955509966028255,0.10298516427399886,2.101209860159867,0.2509594344999999,0.0130710876435239,Delay DoS,100.0,63.153846153846146,97.57692307692307,72.6923076923077,98.57692307692307,49.80769230769231,80.30128205128203
a394a0154bb7406fa59ec51657841f20,20260721_054447:17,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,4,0.0,0.002948869230539476,0.22907870658979002,4.252906728233637,0.8013601505000001,0.0056266754222465,Delay DoS,100.0,49.30769230769231,99.07692307692308,77.76923076923077,98.73076923076923,24.961538461538463,74.97435897435898
d22f6f65372a4af08a370fece2ec653f,20260721_054725:23,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,4,0.0,0.0071453195838817925,0.2378747581682289,3.936943548730587,0.8011951405,0.0014302222695932,Delay DoS,100.0,76.73076923076924,99.42307692307692,76.84615384615384,98.73076923076923,6.769230769230769,76.41666666666667
e85b9aa9e8a8486ea24baaaed8f67c84,20260721_055057:29,denial_of_service,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,low,cylinder,1,4,0.0,0.009703290151240516,0.06728036779601382,1.3371173282301811,0.300811277,0.0019412974339952,Delay DoS,100.0,83.96153846153847,96.84615384615385,69.96153846153847,98.57692307692307,10.23076923076923,76.59615384615384
1498f90aa4cc4792b881cb2f33eb40cf,20260721_055258:32,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.0,0.007561612770763781,0.35015277698074454,6.281268167413755,1.4509610405000002,0.0161371507422475,Delay DoS,100.0,77.8076923076923,99.96153846153845,83.8076923076923,98.88461538461539,61.846153846153854,87.05128205128204
fe4ffa292f584381b48f309d90c7d507,20260721_055316:33,denial_of_service,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,medium,cube,1,4,0.0,0.0013176863854385025,0.14310360376084333,3.6529215658495953,0.7504229470000001,0.0056133449860405,Delay DoS,100.0,27.03846153846154,98.0,76.15384615384615,98.73076923076923,24.884615384615387,70.80128205128204
168b4c6da9134c17a07c8cdced8d31a2,20260721_055517:36,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,4,0.0,5.33221140122596e-06,0.10358362248710508,1.8820376349754764,0.25099702749999997,0.0085759435281476,Delay DoS,100.0,1.7692307692307692,97.61538461538461,71.84615384615385,98.57692307692307,33.07692307692307,67.1474358974359
bd29eda2150f4b17a68a499cf2677baa,20260721_055743:40,denial_of_service,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,4,0.0,0.0036163984238258696,0.2161897490478538,5.245005841668189,1.551149681,0.0033146303704197,Delay DoS,100.0,56.34615384615385,98.8076923076923,80.11538461538461,98.88461538461539,17.692307692307693,75.30769230769229
5f81f450cfc34f778f6d5c56f34a683e,20260721_055840:42,denial_of_service,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.0,0.020112720110605102,0.3449547424887889,6.300255722698995,1.5009823414999999,0.0286882592268878,Delay DoS,100.0,97.53846153846155,99.96153846153845,84.03846153846153,98.88461538461539,80.84615384615384,93.54487179487178
